StartDate	EndDate	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q3	Q5_1	Q7_1	Q9_1	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q17_13_TEXT	Q18	General_Health	Q20	Q21	Q21_10_TEXT	Q22	Q8.1_1	Q8.1_2	Q8.1_3	Q8.1_4	Q8.1_5	Q8.1_6	Q8.1_7	Q8.1_8	Q8.1_9	Q8.1_10	Little_interest_in_things	Depressed	Trouble_Sleeping	No_Energy	Poor_Appetite	Feeling_Failure	Trouble_Concentrating	More_Restless_Than_Usual	Anxious	Uncontrolled_Worry	Worrying_To_Much	Trouble_Relaxing	Restless_Cant_Sit_Still	Easily_Annoyed	Afraid	Q26	Q27	Q28	In_Control_Of_Life	At_Risk_of_Destitution	Q31	Q32	Managing_Financially	Satisfied_With_Income	Q35_1	Q35_2	Q35_3	Ladder	Q39	Politicians_All_The_Same	Politics_Force_For_Good	Party_In_Government_Doesnt_Matter	Politicians_Dont_Care	Politicians_Want_To_Make_Things_Better	Shouldnt_Rely_On_Government	Q42_1	Q42_3	Q42_4	Q44	Q45	Q46	Q47	Q48	Q49_1	Q49_2	Q49_3	Q49_4	Q49_5	Q49_6	Age	Gender	Gender_Other	Q53_1	Q54	Q55	Q55_7_TEXT	Party_Next_Election	Party_Next_Election_Other	PROLIFIC_PID	StartDate_1	Duration (in seconds)_1	ResponseId_1	Consent	Pid	Support_flourishing	Support_efficiency	Support_security	Q11_1	Q12_1	Q13_1	Q14_1	Q15_1	Q16_1	Q17_1	Q17_13_TEXT_1	Q18_1	Q19_1	Q20_1	Q21_1	Q21_10_TEXT_1	Q22_1	Q8.1_1_1	Q8.1_2_1	Q8.1_3_1	Q8.1_4_1	Q8.1_5_1	Q8.1_6_1	Q8.1_7_1	Q8.1_8_1	Q8.1_9_1	Q8.1_10_1	Q9.1_1_1	Q9.1_2_1	Q9.1_3_1	Q9.1_4_1	Q9.1_5_1	Q9.1_6_1	Q9.1_7_1	Q9.1_8_1	Q25_1_1	Q25_2_1	Q25_3_1	Q25_4_1	Q25_5_1	Q25_6_1	Q25_7_1	Q26_1	Q27_1	Q28_1	Q29_1_1	Q30_1_1	Q31_1	Q32_1	Q33_1	Q34_1	Q35_1_1	Q35_2_1	Q35_3_1	Q37_1	Q39_1	Q40_1_1	Q40_2_1	Q40_3_1	Q40_4_1	Q40_5_1	Q40_6_1	Q42_1_1	Q42_3_1	Q42_4_1	Q44_1	Q45_1	Q46_1	Q47_1	Q48_1	Q49_1_1	Q49_2_1	Q49_3_1	Q49_4_1	Q49_5_1	Q49_6_1	Q51_1	Q52_1	Q52_3_TEXT_1	Q53_1_1	Q54_1	Q55_1	Q55_7_TEXT_1	Q56_1	Q56_7_TEXT_1	basic_income_post	HH_Net_Income_PA	gad_7	phq_8	sqrt_gad_7	sqrt_phq_8	next_election	next_election_condensed	haters_post	lovers_post	zeros_post	hundreds_post	trust_in_politics	log_income
28/02/2022 06:45	28/02/2022 06:56	100	621	true	28/02/2022 06:56	R_uq9s5jwsD7fPZpT					53.2339935302734	-1.44619750976563	anonymous	EN	I have read the information above and would like to take part in the survey	5ea03ed29cb1f00672af3eda		70		3	0	180.0	Week	120.0	Month	Unemployed and looking for work		Yes	Good	No				Sometimes	Never	Almost never	Fairly often	Sometimes	Never	Fairly often	Fairly often	Almost never	Never	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Some of the time	Often true	Rarely true	65	10		Poorer	Doing alright	"5.	Somewhat satisfied"	2.	4.	2.	2	4	4. Agree	3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	3. Neither agree nor disagree	2. Disagree	20	51	75	We would probably be better off overall and it would be useful in case of any unexpected costs that may suddenly arise. Saving more would be useful to although with interest rates as they are, putting money in a bank isn't quite as useful as it used to be.	Poorer	Doing alright	"6.	Mostly satisfied"	A little less stressed	4. Agree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	2. Disagree	4. Agree	40	Male		70	I never vote at General Elections	I chose not to vote at the last General Election		I will choose not to vote at the next General Election		5ea03ed29cb1f00672af3eda	28/02/2022 06:45	621	R_uq9s5jwsD7fPZpT	1	5ea03ed29cb1f00672af3eda		70		4	1	180.0	1	120.0	2	17		1	2	2				2	0	1	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	2	65	10		2	2	5	2	4	2	2	4	4	3	4	3	3	2	20	51	75	We would probably be better off overall and it would be useful in case of any unexpected costs that may suddenly arise. Saving more would be useful to although with interest rates as they are, putting money in a bank isn't quite as useful as it used to be.	2	2	7	2	4	2	3	3	2	4	40	2		70	3	8		8		70	10.629015544041449	0	1	0.0	1.0	No Vote/DK/Refused	Other	false	false	false	false	11	2.363587576968425
28/02/2022 06:46	28/02/2022 06:58	100	719	true	28/02/2022 06:58	R_yO9CCPwAzvfy6rf					53.7407073974609	-1.49029541015625	anonymous	EN	I have read the information above and would like to take part in the survey	5ceecd8f12495000011572be		100		1	0	240.0	Week	112.0	Month	In part-time paid work (less than 30 hours a week)		Yes	Good	No				Almost never	Never	Almost never	Very often	Sometimes	Almost never	Fairly often	Sometimes	Sometimes	Almost never	Not at all	Not at all	Several days	Several days	Not at all	Not at all	Several days	Not at all	Not at all	Not at all	Not at all	Several days	Several days	Several days	Not at all	Some of the time	Often true	Rarely true	72	4	the loss of my job	About the same	Just about getting by	"3.	Somewhat dissatisfied"	1. I disagree strongly	2.	1. I disagree strongly	3	5	3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	4. Agree	4. Agree	1. Strongly disagree	29	67	100	it would double my income which would be amazing. id tent to retain some money for paying for medical trewamtment etc but i'd feel ov er the moon with what would seem like 'free' money	Richer	Living comfortably	"7.	Completely satisfied"	A lot less stressed	3. Neither agree nor disagree	1. Strongly disagree	2. Disagree	5. Strongly agree	2. Disagree	5. Strongly agree	52	Male		42	I always vote at General Elections	Labour Party		Labour Party		5ceecd8f12495000011572be	28/02/2022 06:46	719	R_yO9CCPwAzvfy6rf	1	5ceecd8f12495000011572be		100		2	1	240.0	1	112.0	2	2		1	2	2				1	0	1	4	2	1	3	2	2	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	2	3	2	72	4	the loss of my job	3	3	3	1	2	1	3	5	3	4	3	4	4	1	29	67	100	it would double my income which would be amazing. id tent to retain some money for paying for medical trewamtment etc but i'd feel ov er the moon with what would seem like 'free' money	1	1	8	1	3	1	2	5	2	5	52	2		42	1	4		4		100	14.1720207253886	3	3	1.7320508075688772	1.7320508075688772	Labour	Labour	false	true	false	true	15	2.651269649420206
28/02/2022 06:47	28/02/2022 06:58	100	678	true	28/02/2022 06:58	R_12RbBATwTO9n8Sm					55.0312042236328	-1.56950378417969	anonymous	EN	I have read the information above and would like to take part in the survey	5d8b66f5d189bd001a378273			100	3	0	2785.0	Week	1092.0	Year	A homemaker		Yes	Good	No				Almost never	Almost never	Sometimes	Fairly often	Sometimes	Sometimes	Almost never	Almost never	Fairly often	Fairly often	More than half the days	Several days	Nearly every day	Nearly every day	Nearly every day	Nearly every day	Nearly every day	Not at all	More than half the days	Several days	Several days	More than half the days	Not at all	More than half the days	Several days	Some of the time	Always true	Rarely true	23	76	Unemployment	Poorer	Finding it very difficult	"2.	Mostly dissatisfied"	2.	4.	1. I disagree strongly	2	1	4. Agree	3. Neither agree nor disagree	4. Agree	5. Strongly agree	2. Disagree	5. Strongly agree	28	80	59	It would ease the worry of buying basic every day needs. I would be able to afford medicines, dental work and opticians. It would guarantee that we could eat every day and also stay warm and have hot water. 	Poorer	Just about getting by	"5.	Somewhat satisfied"	A little less stressed	5. Strongly agree	2. Disagree	4. Agree	4. Agree	1. Strongly disagree	5. Strongly agree	44	Female		19	I always vote at General Elections	Labour Party		Labour Party		5d8b66f5d189bd001a378273	28/02/2022 06:47	678	R_12RbBATwTO9n8Sm	1	5d8b66f5d189bd001a378273			100	4	1	2785.0	1	1092.0	3	12		1	2	2				1	1	2	3	2	2	1	1	3	3	2	1	3	3	3	3	3	0	2	1	1	2	0	2	1	2	4	2	23	76	Unemployment	2	5	2	2	4	1	2	1	4	3	4	5	2	5	28	80	59	It would ease the worry of buying basic every day needs. I would be able to afford medicines, dental work and opticians. It would guarantee that we could eat every day and also stay warm and have hot water. 	2	3	5	2	5	2	4	4	1	5	44	1		19	1	4		4		100	164.45449050086356	18	9	4.242640687119285	3.0	Labour	Labour	false	true	false	true	5	5.102633878439599
28/02/2022 06:45	28/02/2022 06:58	100	811	true	28/02/2022 06:58	R_3CQuJXOQW0FyLdz					53.1186981201172	-1.264892578125	anonymous	EN	I have read the information above and would like to take part in the survey	567f59e0d18c640011e7ac0b			100	3	2	458.0	Week	30.0	Week	A homemaker		No	Good	Yes	None of the above		Not at all	Almost never	Never	Sometimes	Fairly often	Sometimes	Almost never	Very often	Fairly often	Almost never	Never	Not at all	Not at all	Several days	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Several days	Several days	Not at all	Not at all	Several days	Several days	Some of the time	Always true	Rarely true	85	52	loosing employment in the home 	About the same	Finding it quite difficult	"3.	Somewhat dissatisfied"	1. I disagree strongly	5. I agree strongly	3. Neither agree nor disagree	5	3	2. Disagree	3. Neither agree nor disagree	1. Strongly disagree	2. Disagree	4. Agree	1. Strongly disagree	50	93	63	it would make sure that my friends and family knew taht they had at least some kind of money coming into the household. It would mean they could meet their basic himan rights needs such as gas and electrcity . 	About the same	Just about getting by	"5.	Somewhat satisfied"	A lot less stressed	4. Agree	2. Disagree	5. Strongly agree	3. Neither agree nor disagree	1. Strongly disagree	2. Disagree	33	Female		50	I always vote at General Elections	Labour Party		Labour Party		567f59e0d18c640011e7ac0b	28/02/2022 06:45	811	R_3CQuJXOQW0FyLdz	1	567f59e0d18c640011e7ac0b			100	4	3	458.0	1	30.0	1	12		2	2	1	11		3	1	0	2	3	2	1	4	3	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	2	4	2	85	52	loosing employment in the home 	3	4	3	1	5	3	5	3	2	3	1	2	4	1	50	93	63	it would make sure that my friends and family knew taht they had at least some kind of money coming into the household. It would mean they could meet their basic himan rights needs such as gas and electrcity . 	3	3	5	1	4	2	5	3	1	2	33	1		50	1	4		4		100	27.044939550949913	1	5	1.0	2.23606797749979	Labour	Labour	false	true	false	true	19	3.2974999101923994
28/02/2022 06:46	28/02/2022 06:59	100	805	true	28/02/2022 06:59	R_2zTLgKVaob9CMgj					51.0075073242188	-3.10150146484375	anonymous	EN	I have read the information above and would like to take part in the survey	596e1cc639e9d00001b7bb84			90	3	1	450.0	Week	117.0	Month	A homemaker		No	Fair	Yes	Mental Health		Yes, a little	Fairly often	Sometimes	Fairly often	Sometimes	Almost never	Fairly often	Sometimes	Sometimes	Fairly often	Sometimes	Several days	Several days	Nearly every day	More than half the days	Nearly every day	More than half the days	More than half the days	More than half the days	More than half the days	More than half the days	More than half the days	Several days	Several days	Nearly every day	More than half the days	Some of the time	Always true	Rarely true	80	60	loss of parners income 	About the same	Doing alright	"5.	Somewhat satisfied"	5. I agree strongly	1. I disagree strongly	3. Neither agree nor disagree	5	4	1. Strongly disagree	4. Agree	1. Strongly disagree	2. Disagree	3. Neither agree nor disagree	5. Strongly agree	70	80	90	It would take alot of pressure off my family, the worry of how we are going to afford to heat our home is a constant worry for us, we know after april we are going to have to spend atlest another 50 pound on heating ect, this will have to come out of our food and clothing budget	About the same	Doing alright	"5.	Somewhat satisfied"	A lot less stressed	5. Strongly agree	2. Disagree	5. Strongly agree	2. Disagree	1. Strongly disagree	4. Agree	42	Female		80	I never vote at General Elections	I chose not to vote at the last General Election		Other (please name below)	i have not choosen yet	596e1cc639e9d00001b7bb84	28/02/2022 06:46	805	R_2zTLgKVaob9CMgj	1	596e1cc639e9d00001b7bb84			90	4	2	450.0	1	117.0	2	12		2	3	1	7		2	3	2	3	2	1	3	2	2	3	2	1	1	3	2	3	2	2	2	2	2	2	1	1	3	2	2	4	2	80	60	loss of parners income 	3	2	5	5	1	3	5	4	1	4	1	2	3	5	70	80	90	It would take alot of pressure off my family, the worry of how we are going to afford to heat our home is a constant worry for us, we know after april we are going to have to spend atlest another 50 pound on heating ect, this will have to come out of our food and clothing budget	3	2	5	1	5	2	5	2	1	4	42	1		80	3	8		7	i have not choosen yet	90	26.572538860103624	16	13	4.0	3.605551275463989	Other/Brexit	Other	false	true	false	false	16	3.27987830884258
28/02/2022 06:46	28/02/2022 07:03	100	1008	true	28/02/2022 07:03	R_3KJI7pxma4TKdkz					52.9875030517578	-2.1802978515625	anonymous	EN	I have read the information above and would like to take part in the survey	595fa59caa841c00018d7225	61			2	1	750.0	Week	113.0	Month	In full-time paid work (30 or more hours a week)		Yes	Very good	No				Never	Never	Almost never	Never	Fairly often	Never	Fairly often	Very often	Never	Never	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	All of the time	Often true	Often true	90	5	If me or my husband lose our jobs 	About the same	Living comfortably	"7.	Completely satisfied"	2.	5. I agree strongly	1. I disagree strongly	6	5	2. Disagree	4. Agree	1. Strongly disagree	2. Disagree	4. Agree	2. Disagree	50	50	80	The most significant impact this scheme would have on my life would be that I would receive enough money to ensure that I can get all of the basic necessities that me and my family would need. 	Don't know	Finding it quite difficult	"2.	Mostly dissatisfied"	A lot more stressed	4. Agree	3. Neither agree nor disagree	5. Strongly agree	3. Neither agree nor disagree	4. Agree	2. Disagree	27	Female		90	I always vote at General Elections	Conservative Party		Conservative Party		595fa59caa841c00018d7225	28/02/2022 06:46	1008	R_3KJI7pxma4TKdkz	1	595fa59caa841c00018d7225	61			3	2	750.0	1	113.0	2	1		1	1	2				0	0	1	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	90	5	If me or my husband lose our jobs 	3	1	8	2	5	1	6	5	2	4	1	2	4	2	50	50	80	The most significant impact this scheme would have on my life would be that I would receive enough money to ensure that I can get all of the basic necessities that me and my family would need. 	4	4	2	5	4	3	5	3	4	2	27	1		90	1	2		2		61	44.287564766839374	0	0	0.0	0.0	Conservative	Conservative	false	false	false	false	19	3.7907039326085705
28/02/2022 06:45	28/02/2022 07:06	100	1296	true	28/02/2022 07:07	R_4G6rkMhoPO4V0Hf					53.552001953125	-1.48719787597656	anonymous	EN	I have read the information above and would like to take part in the survey	6160c8f657e3c4094b01614a	90			2	1	300.0	Week	1200.0	Year	In part-time paid work (less than 30 hours a week)		Yes	Fair	Yes	Mobility (for example walking short distances or climbing stairs),Dexterity (for example lifting and carrying objects, using a keyboard)		Yes, a little	Sometimes	Sometimes	Sometimes	Sometimes	Almost never	Sometimes	Almost never	Sometimes	Fairly often	Sometimes	More than half the days	More than half the days	Several days	Nearly every day	Nearly every day	Nearly every day	Several days	Several days	More than half the days	Nearly every day	Nearly every day	More than half the days	More than half the days	More than half the days	Nearly every day	All of the time	Often true	Often true	60	40	My body might soon give in.	Poorer	Just about getting by	"3.	Somewhat dissatisfied"	5. I agree strongly	1. I disagree strongly	3. Neither agree nor disagree	3	2	3. Neither agree nor disagree	4. Agree	4. Agree	3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	70	90	40	All necessities such as food and fuel will no longer be worried about. This opens up the potential for me not to have to work so much if I don't need to which will take less toll on my body and I can enjoy life.	About the same	Living comfortably	"6.	Mostly satisfied"	A lot less stressed	3. Neither agree nor disagree	1. Strongly disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	2. Disagree	5. Strongly agree	34	Male		50	I sometimes vote at General Elections	Prefer not to say		Prefer not to say		6160c8f657e3c4094b01614a	28/02/2022 06:45	1296	R_4G6rkMhoPO4V0Hf	1	6160c8f657e3c4094b01614a	90			3	2	300.0	1	1200.0	3	2		1	3	1	3,4		2	2	2	2	2	1	2	1	2	3	2	2	2	1	3	3	3	1	1	2	3	3	2	2	2	3	3	3	3	60	40	My body might soon give in.	2	3	3	5	1	3	3	2	3	4	4	3	4	3	70	90	40	All necessities such as food and fuel will no longer be worried about. This opens up the potential for me not to have to work so much if I don't need to which will take less toll on my body and I can enjoy life.	3	1	7	1	3	1	3	3	2	5	34	2		50	2	10		10		90	17.71502590673575	16	17	4.0	4.123105625617661	No Vote/DK/Refused	Other	false	true	false	false	13	2.874413200734416
28/02/2022 06:46	28/02/2022 07:16	100	1756	true	28/02/2022 07:16	R_1i9VnFWjv5ZwxGM					53.6036071777344	-2.5469970703125	anonymous	EN	I have read the information above and would like to take part in the survey	59be90270ac77f0001f059e6	75			1	2	437.0	Week	76.0	Month	A homemaker		No	Good	Yes	Dexterity (for example lifting and carrying objects, using a keyboard)		Yes, a little	Almost never	Fairly often	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Almost never	Sometimes	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Not at all	Several days	Several days	Several days	More than half the days	Several days	Several days	Several days	Some of the time	Often true	Rarely true	40	70	can't think of anything but it does sound like a fairer system an may make me feel more secure that I can always provide for my family.	About the same	Just about getting by	"7.	Completely satisfied"	1. I disagree strongly	4.	4.	4	7	5. Strongly agree	3. Neither agree nor disagree	3. Neither agree nor disagree	5. Strongly agree	3. Neither agree nor disagree	5. Strongly agree	51	100	74	It would make me feel safer if I knew there was some income coming in no matter what and make me more keen to look for possible employment options if I had a safety net.	About the same	Living comfortably	"7.	Completely satisfied"	A lot less stressed	4. Agree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	4. Agree	39	Female		49	I always vote at General Elections	Conservative Party		Labour Party		59be90270ac77f0001f059e6	28/02/2022 06:46	1756	R_1i9VnFWjv5ZwxGM	1	59be90270ac77f0001f059e6	75			2	3	437.0	1	76.0	2	12		2	2	1	4		2	1	3	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	2	3	2	40	70	can't think of anything but it does sound like a fairer system an may make me feel more secure that I can always provide for my family.	3	3	8	1	4	4	4	7	5	3	3	5	3	5	51	100	74	It would make me feel safer if I knew there was some income coming in no matter what and make me more keen to look for possible employment options if I had a safety net.	3	1	8	1	4	2	3	3	3	4	39	1		49	1	2		4		75	25.80488773747841	7	8	2.6457513110645907	2.8284271247461903	Labour	Labour	false	true	false	false	6	3.250563921173805
28/02/2022 07:06	28/02/2022 07:17	100	697	true	28/02/2022 07:17	R_1GNtC8hZJsGK6m8					53.7590942382813	-1.58970642089844	anonymous	EN	I have read the information above and would like to take part in the survey	5bd1ebd75c90120001d0f088		81		1	3	300.0	Week	81.0	Month	In full-time paid work (30 or more hours a week)		No	Fair	Yes	Stamina or breathing or fatigue		Not at all	Never	Never	Sometimes	Fairly often	Sometimes	Never	Fairly often	Fairly often	Sometimes	Never	Several days	Not at all	Not at all	Several days	Several days	Not at all	Several days	Not at all	Several days	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Some of the time	Often true	Rarely true	79	0	Not being able to work 	Poorer	Just about getting by	"5.	Somewhat satisfied"	1. I disagree strongly	5. I agree strongly	1. I disagree strongly	5	5	4. Agree	4. Agree	5. Strongly agree	5. Strongly agree	3. Neither agree nor disagree	4. Agree	60	80	25	Its ok having a regular income like that but with the cost of living fluctuations I think that there will be issues for people whichever system is used. I also feel that it would stop some people wanting to work which is pretty much the same as universal credit is now.	Poorer	Finding it quite difficult	"2.	Mostly dissatisfied"	A lot more stressed	3. Neither agree nor disagree	3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	4. Agree	2. Disagree	46	Male		50	I always vote at General Elections	Green Party		Green Party		5bd1ebd75c90120001d0f088	28/02/2022 07:06	697	R_1GNtC8hZJsGK6m8	1	5bd1ebd75c90120001d0f088		81		2	4	300.0	1	81.0	2	1		2	3	1	8		3	0	0	2	3	2	0	3	3	2	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	2	3	2	79	0	Not being able to work 	2	3	5	1	5	1	5	5	4	4	5	5	3	4	60	80	25	Its ok having a regular income like that but with the cost of living fluctuations I think that there will be issues for people whichever system is used. I also feel that it would stop some people wanting to work which is pretty much the same as universal credit is now.	2	4	2	5	3	3	4	3	4	2	46	2		50	1	3		3		81	17.71502590673575	4	2	2.0	1.4142135623730951	Nat/Green	Other	false	true	false	false	7	2.874413200734416
28/02/2022 07:00	28/02/2022 07:27	100	1642	true	28/02/2022 07:27	R_2V9Kxv9iKwAHLbe					53.5549011230469	-2.06809997558594	anonymous	EN	I have read the information above and would like to take part in the survey	5d48673efef71c0016d8bf40			100	1	0	238.0	Week	800.0	Year	Other, please type in below	retired	Yes	Fair	Yes	Stamina or breathing or fatigue		Yes, a little	Almost never	Sometimes	Sometimes	Very often	Sometimes	Almost never	Very often	Fairly often	Sometimes	Almost never	Several days	Several days	More than half the days	Several days	Not at all	Not at all	Several days	Not at all	Several days	Several days	Several days	More than half the days	More than half the days	Several days	Several days	Some of the time	Always true	Never true	40	60	health problems	Poorer	Just about getting by	"3.	Somewhat dissatisfied"	2.	1. I disagree strongly	3. Neither agree nor disagree	3	3	2. Disagree	3. Neither agree nor disagree	2. Disagree	4. Agree	3. Neither agree nor disagree	1. Strongly disagree	49	71	40	It is the basic right of any individual livinging in a democratic state to expect to exist on a fair income for him and his family and to pay for the essential goods and service within his home and not feel oppressed and isolated and to hold his head up high as a human being 	About the same	Just about getting by	"5.	Somewhat satisfied"	Neither more nor less stressed	5. Strongly agree	1. Strongly disagree	4. Agree	1. Strongly disagree	1. Strongly disagree	4. Agree	68	Male		40	I always vote at General Elections	Labour Party		Labour Party		5d48673efef71c0016d8bf40	28/02/2022 07:00	1642	R_2V9Kxv9iKwAHLbe	1	5d48673efef71c0016d8bf40			100	2	1	238.0	1	800.0	3	13	retired	1	3	1	8		2	1	2	2	4	2	1	4	3	2	1	1	1	2	1	0	0	1	0	1	1	1	2	2	1	1	2	4	1	40	60	health problems	2	3	3	2	1	3	3	3	2	3	2	4	3	1	49	71	40	It is the basic right of any individual livinging in a democratic state to expect to exist on a fair income for him and his family and to pay for the essential goods and service within his home and not feel oppressed and isolated and to hold his head up high as a human being 	3	3	5	3	5	1	4	1	1	4	68	2		40	1	4		4		100	14.053920552677027	6	9	2.449489742783178	3.0	Labour	Labour	false	true	false	true	15	2.642901399749689
