StartDate	EndDate	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	DistributionChannel	UserLanguage	Q1.1	Q3.1	Q5.1_4	Q6.1_4	Q7.1_4	Q8.1_4	Q9.1_4	Q10.1_4	Q11.1_4	Q12.1_4	Q13.1_4	Q14.1_4	Q15.1_4	Q16.1_4	Q17.1_4	Q18.1_4	Q19.1_4	Q20.1_4	Q21.1_4	Q22.1_4	Q23.1_4	Q24.1_4	Q25.1_4	Q26.1_4	Q27.1_4	Q28.1_4	Q29.1_4	Q30.1_4	Q31.1_4	Q32.1_4	Q33.1_4	Q34.1_4	Q35.1_4	Q36.1_4	Q37.1_4	Q38.1_4	Q39.1_4	Q40.1_4	Q41.1_4	Q42.1_4	Q43.1_4	Q44.1_4	Q45.1_4	Q46.1_4	Q47.1_4	Q48.1_4	Q49.1_4	Q50.1_4	Q51.1_4	Q52.1_4	Q53.1_4	Q54.1_4	Q55.1_4	Q56.1_4	Q57.1_4	Q58.1_4	Q59.1_4	Q60.1_4	Q61.1_4	Q62.1_4	Q63.1_4	Q64.1_4	Q65.2_1	Q65.3_1	Q66.2	Q66.3	Q66.3_3_TEXT	Q66.4	Q66.4_5_TEXT	Q66.4_9_TEXT	Q66.4_14_TEXT	Q66.4_17_TEXT	Q66.4_19_TEXT	Q66.5	Q66.6	Q66.7	Q66.7_13_TEXT	Q66.8	Q66.9_1	Q66.10	Q66.11	Q66.12	Q66.13	Q9.1_1	Q9.1_2	Q9.1_3	Q9.1_4_1	Q9.1_5	Q9.1_6	Q9.1_7	Q9.1_8	Q66.15_1	Q66.15_2	Q66.15_3	Q66.15_4	Q66.15_5	Q66.15_6	Q66.15_7	Q66.16	Q66.17_1	Q66.18_1	Q66.19	Q66.20_1	Q66.21	Q66.22	Q66.22_9_TEXT	Q66.23	Q66.23_9_TEXT	Q66.24_1	Q66.24_2	Q66.24_3	Q66.24_4	Q66.24_5	Q66.24_6	PROLIFIC_PID	is_redwall
25/01/2024 18:22	25/01/2024 18:36	100	850	true	25/01/2024 18:36	R_571y7NsCRNOwhVL					anonymous	EN	I have read the information above and would like to take part in the survey	60ebcec9c79048f3399e60d6	81			92		99	85	96				97	80			68		73	43	20				33	100			100		98	58				58	54	82	70				75	57		49			54	56		72			74	70				76	88	70	80	27	Male		1. English, Welsh, Scottish, Northern Irish or British						TW13	30000	Unemployed and looking for work		No	67	"4.	Finding it quite difficult"	3. Somewhat dissatisfied	3	Bad	More than half the days	Nearly every day	Nearly every day	Several days	Nearly every day	Several days	Not at all	Several days	Nearly every day	More than half the days	Nearly every day	Several days	Several days	Not at all	Not at all	Often true	58	62	Being employed again so I can support my family 	47	I sometimes vote at General Elections	I chose not to vote at the last General Election		Don't know		4. Agree	5. Strongly agree	3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	2. Disagree	60ebcec9c79048f3399e60d6	false
25/01/2024 18:27	25/01/2024 18:41	100	875	true	25/01/2024 18:41	R_74Blh3Ioh4lhjP1					anonymous	EN	I have read the information above and would like to take part in the survey	5f2eb1d21cdf492436120f62	61		83			71	71			91		85	100				100	100	71			61		72	0		10			0	59	50				62	80				81	70	80				80	81	99	100				100	74	82				85	65	51	45	Female		1. English, Welsh, Scottish, Northern Irish or British						SA12	36000	In part-time paid work (less than 30 hours a week)		Yes	59	"3.	Just about getting by"	2. Mostly dissatisfied	2	Good	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Several days	Not at all	Several days	Several days	Several days	Several days	Not at all	Several days	Not at all	Often true	62	82		65	I always vote at General Elections	Independent candidate		Reform UK		4. Agree	2. Disagree	2. Disagree	5. Strongly agree	1. Strongly disagree	4. Agree	5f2eb1d21cdf492436120f62	false
25/01/2024 18:32	25/01/2024 18:43	100	675	true	25/01/2024 18:43	R_3oWOMYBbvo1IsfJ					anonymous	EN	I have read the information above and would like to take part in the survey	5a678d0bb9e3b50001a73fa3	73			88		91	99		100			100	99		100			100	80			71		71	64		99			95	100	100				99	87			80		81	90			83		86	100			100		100	94		99			100	87	92	64	Male		1. English, Welsh, Scottish, Northern Irish or British						Cf39	42000	Other, please type in below	Retired	Yes	1	"2.	Doing alright"	6. Mostly satisfied	6	Fair	Not at all	Not at all	Several days	Not at all	Several days	Not at all	Not at all	Not at all	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Often true	80	91	Fully support anyway	35	I always vote at General Elections	Plaid Cymru		Labour Party		1. Strongly disagree	5. Strongly agree	1. Strongly disagree	4. Agree	3. Neither agree nor disagree	1. Strongly disagree	5a678d0bb9e3b50001a73fa3	false
25/01/2024 18:24	25/01/2024 18:44	100	1187	true	25/01/2024 18:44	R_6lOCAat0LgIY1sl					anonymous	EN	I have read the information above and would like to take part in the survey	5fc2cbb804670e1e15cb3b0d	80		70			80	95				70	85	100	100				100	70				100	75	100		100			100	90		65			90	65		85			80	100		100			100	65				85	75	100			80		100	85	75	28	Male		1. English, Welsh, Scottish, Northern Irish or British						M21	11000	In full-time education		No	60	"3.	Just about getting by"	2. Mostly dissatisfied	4	Fair	Several days	Several days	Nearly every day	Several days	More than half the days	More than half the days	Several days	Not at all	More than half the days	Several days	Several days	Several days	Not at all	Not at all	Not at all	Always true	30	25	Basic Income would make a huge impact on my mental health, I think. I've always worked when I've not been at university but I still think about money a lot... I grey up quite poor so it's sort of burnt into my brain to save - even when I don't necessarily have to. I think having a buffer would help that.         Increased funding for mental heatlh services would be fantastic for me, along with a lot of my friends.     Care service like-wise for my mum as she is a care worker. 	10	I sometimes vote at General Elections	Labour Party		Other (please name below)	Labour - but with the caveat of seeing their manifesto first. I have worries about Rachel Reeves and Wes Streeting.	2. Disagree	4. Agree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	2. Disagree	5fc2cbb804670e1e15cb3b0d	false
25/01/2024 18:26	25/01/2024 18:44	100	1071	true	25/01/2024 18:44	R_2q8JsKvbN9Kofqx					anonymous	EN	I have read the information above and would like to take part in the survey	5be4c588854f100001537d04	40		30			40	70				85	85	89			90		90	50	60				60	70	80				89	100		100			100	60		50			50	92				100	100	100		100			100	40	30				30	70	50	47	Male		1. English, Welsh, Scottish, Northern Irish or British						SP3	68000	In full-time paid work (30 or more hours a week)		Yes	11	"2.	Doing alright"	6. Mostly satisfied	7	Good	Not at all	Not at all	Not at all	Several days	Several days	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Several days	Several days	Several days	Several days	Always true	77	82	None	46	I always vote at General Elections	Conservative Party		Labour Party		4. Agree	5. Strongly agree	5. Strongly agree	4. Agree	3. Neither agree nor disagree	3. Neither agree nor disagree	5be4c588854f100001537d04	false
25/01/2024 18:26	25/01/2024 18:45	100	1141	true	25/01/2024 18:45	R_5dpeARGWPiQ3q5Y					anonymous	EN	I have read the information above and would like to take part in the survey	6081474510faf8072e5d7072	65	75				70	80	84				86	100			90		100	100				82	100	100			100		100	77	70				72	81	51				55	55	80				70	50	90				85	60		50			60	90	35	38	Female		1. English, Welsh, Scottish, Northern Irish or British						CT19	40000	In full-time paid work (30 or more hours a week)		Yes	70	"4.	Finding it quite difficult"	2. Mostly dissatisfied	4	Very good	Several days	Several days	Several days	Nearly every day	Nearly every day	Not at all	Not at all	Several days	Several days	Several days	Several days	Several days	Several days	More than half the days	Not at all	Often true	34	50	As someone who would benefit hugely from these policies, there is nothing more needed to convince me	34	I always vote at General Elections	Labour Party		Don't know		5. Strongly agree	3. Neither agree nor disagree	4. Agree	5. Strongly agree	1. Strongly disagree	2. Disagree	6081474510faf8072e5d7072	false
25/01/2024 18:32	25/01/2024 18:47	100	890	true	25/01/2024 18:47	R_41h4Ypug4CZorlj					anonymous	EN	I have read the information above and would like to take part in the survey	60e80a4d99f424ca5dd14edd	70	80				81	72	75				71	75			72		75	60		58			41	73			63		69	76		70			67	73			66		68	85		75			75	61			67		71	70				40	56	83	40	53	Male		1. English, Welsh, Scottish, Northern Irish or British						LE2	60000	In full-time paid work (30 or more hours a week)		Yes	6	"2.	Doing alright"	6. Mostly satisfied	7	Very good	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Several days	Not at all	Not at all	Several days	Not at all	Several days	Not at all	Rarely true	55	61	Losing my job and failing health. A competent Labour party	40	I always vote at General Elections	Labour Party		Labour Party		2. Disagree	5. Strongly agree	2. Disagree	3. Neither agree nor disagree	4. Agree	2. Disagree	60e80a4d99f424ca5dd14edd	false
25/01/2024 18:35	25/01/2024 18:48	100	812	true	25/01/2024 18:48	R_71ZML5qthKYIoL5					anonymous	EN	I have read the information above and would like to take part in the survey	5e7c7bf3ca18002bd9cf6eca	85			80		85	74			80		73	66	55				67	73			71		71	48		50			53	84			70		75	85	70				85	62		71			76	55			69		73	72	74				79	77	79	44	Male		1. English, Welsh, Scottish, Northern Irish or British						Le2	30000	In full-time paid work (30 or more hours a week)		Yes	51	"4.	Finding it quite difficult"	2. Mostly dissatisfied	3	Fair	Several days	Several days	Nearly every day	More than half the days	Not at all	Several days	Several days	Not at all	Nearly every day	More than half the days	More than half the days	More than half the days	Several days	Several days	Nearly every day	Often true	60	34	Loss of work, I’ll health 	51	I always vote at General Elections	Labour Party		Prefer not to say		2. Disagree	3. Neither agree nor disagree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	5e7c7bf3ca18002bd9cf6eca	false
25/01/2024 18:38	25/01/2024 18:49	100	630	true	25/01/2024 18:49	R_2psop3My7EYIbs2					anonymous	EN	I have read the information above and would like to take part in the survey	65aaafb4e212bab167859643	51			88		93	75			73		62	50		70			63	73				57	66	65			62		53	52			70		70	66		64			54	49	77				59	83		92			87	66			66		61	60	60	33	Female		"2.	African background, write in below"						ST5	20000	In full-time paid work (30 or more hours a week)		No	64	"3.	Just about getting by"	4. Neither satisfied nor dissatisfied	6	Good	Not at all	Several days	Several days	More than half the days	Nearly every day	Not at all	Several days	Not at all	Several days	Not at all	Nearly every day	More than half the days	Several days	Not at all	Several days	Always true	54	50	I dont think so	54	I sometimes vote at General Elections	Labour Party		Labour Party		3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	65aaafb4e212bab167859643	false
25/01/2024 18:33	25/01/2024 18:49	100	972	true	25/01/2024 18:49	R_5dT7x6JiBZiLVpu					anonymous	EN	I have read the information above and would like to take part in the survey	5de8e0ac9ba3e8000a970881	100				100	100	100		100			100	91		100			100	100		100			100	100				82	100	100			92		100	100			90		100	100				100	100	100			80		100	92				91	94	100	50	37	Female		5. Any other White background, please type in below	Italian 					SE5 	75000	In full-time paid work (30 or more hours a week)		No	29	"4.	Finding it quite difficult"	3. Somewhat dissatisfied	4	Good	Not at all	Several days	Several days	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Not at all	Not at all	Not at all	Often true	41	80	I fully support the policies described, and it makes me feel pretty bad to think that no party will implement them 	9	I've not been eligible in the past to vote at a General Election	I was not eligible to vote at the last General Election (for example due to age, residency etc.)		I will not be eligible to vote at the next General Election (for example due to residency etc.)		2. Disagree	4. Agree	1. Strongly disagree	4. Agree	2. Disagree	1. Strongly disagree	5de8e0ac9ba3e8000a970881	false
