StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1.1,Q3.1,Q5.1_4,Q6.1_4,Q7.1_4,Q8.1_4,Q9.1_4,Q10.1_4,Q11.1_4,Q12.1_4,Q13.1_4,Q14.1_4,Q15.1_4,Q16.1_4,Q17.1_4,Q18.1_4,Q19.1_4,Q20.1_4,Q21.1_4,Q22.1_4,Q23.1_4,Q24.1_4,Q25.1_4,Q26.1_4,Q27.1_4,Q28.1_4,Q29.1_4,Q30.1_4,Q31.1_4,Q32.1_4,Q33.1_4,Q34.1_4,Q35.1_4,Q36.1_4,Q37.1_4,Q38.1_4,Q39.1_4,Q40.1_4,Q41.1_4,Q42.1_4,Q43.1_4,Q44.1_4,Q45.1_4,Q46.1_4,Q47.1_4,Q48.1_4,Q49.1_4,Q50.1_4,Q51.1_4,Q52.1_4,Q53.1_4,Q54.1_4,Q55.1_4,Q56.1_4,Q57.1_4,Q58.1_4,Q59.1_4,Q60.1_4,Q61.1_4,Q62.1_4,Q63.1_4,Q64.1_4,Q65.2_1,Q65.3_1,Q66.2,Q66.3,Q66.3_3_TEXT,Q66.4,Q66.4_5_TEXT,Q66.4_9_TEXT,Q66.4_14_TEXT,Q66.4_17_TEXT,Q66.4_19_TEXT,Q66.5,Q66.6,Q66.7,Q66.7_13_TEXT,Q66.8,Q66.9_1,Q66.10,Q66.11,Q66.12,Q66.13,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.1_6,Q9.1_7,Q9.1_8,Q66.15_1,Q66.15_2,Q66.15_3,Q66.15_4,Q66.15_5,Q66.15_6,Q66.15_7,Q66.16,Q66.17_1,Q66.18_1,Q66.19,Q66.20_1,Q66.21,Q66.22,Q66.22_9_TEXT,Q66.23,Q66.23_9_TEXT,Q66.24_1,Q66.24_2,Q66.24_3,Q66.24_4,Q66.24_5,Q66.24_6,PROLIFIC_PID
20/01/2024 18:15,20/01/2024 18:26,100,655,TRUE,20/01/2024 18:26,R_2JEMqzJ24wcBq31,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,571d1e4728d2680011ab97be,63,,,46,,45,37,,,63,,59,54,,53,,,58,69,70,,,,69,67,,67,,,70,73,,72,,,74,71,,,,73,70,71,,73,,,71,74,,,72,,71,69,,,,69,71,62,48,48,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,NG16,55000,In full-time paid work (30 or more hours a week),,Yes,23,"2.	Doing alright",5. Somewhat satisfied,6,Fair,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,Not at all,Several days,Several days,Always true,59,57,Redundancy ,52,I always vote at General Elections,Conservative Party,,Conservative Party,,4. Agree,3. Neither agree nor disagree,3. Neither agree nor disagree,3. Neither agree nor disagree,4. Agree,3. Neither agree nor disagree,571d1e4728d2680011ab97be
20/01/2024 18:17,20/01/2024 18:27,100,626,TRUE,20/01/2024 18:27,R_2ND3hgUgAUEiLo5,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,613b1a074907c34d54afdb1d,81,,82,,,97,84,,,,95,97,61,,,,74,68,79,,,90,,83,70,,,,61,65,83,,,,74,86,83,,77,,,82,62,,,85,,81,73,,92,,,87,77,70,,,,68,90,76,33,Male,,3. White and Asian,,,,,,B30,76000,In full-time paid work (30 or more hours a week),,No,54,"4.	Finding it quite difficult",5. Somewhat satisfied,6,Good,Several days,Several days,More than half the days,Several days,Not at all,More than half the days,Several days,Not at all,More than half the days,More than half the days,More than half the days,Several days,Several days,Nearly every day,More than half the days,Often true,33,46,"Would have more disposable income, making it easier to save/eventually get on the property ladder ",19,I always vote at General Elections,Labour Party,,Labour Party,,3. Neither agree nor disagree,4. Agree,1. Strongly disagree,2. Disagree,3. Neither agree nor disagree,2. Disagree,613b1a074907c34d54afdb1d
20/01/2024 18:15,20/01/2024 18:29,100,816,TRUE,20/01/2024 18:29,R_8xPPjXVX736AzaM,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,60d88215cb2f2655d0e4c663,80,,,,31,80,50,90,,,,82,90,,93,,,100,100,,,100,,100,100,,,90,,100,90,90,,,,92,64,,,68,,64,90,,,,91,100,100,70,,,,100,59,,76,,,60,92,0,36,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,Ng16,1000,A homemaker,,Yes,92,"4.	Finding it quite difficult",1. Completely dissatisfied,1,Good,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,Nearly every day,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,Several days,Nearly every day,Always true,8,1,No,49,I always vote at General Elections,Brexit Party,,Reform UK,,5. Strongly agree,1. Strongly disagree,3. Neither agree nor disagree,5. Strongly agree,2. Disagree,4. Agree,60d88215cb2f2655d0e4c663
20/01/2024 18:17,20/01/2024 18:32,100,904,TRUE,20/01/2024 18:32,R_8OZ5pl820vX4lWU,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5aa04de4dbdb470001ef1dd5,100,100,,,,100,100,,,,82,86,100,,100,,,100,100,100,,,,100,92,100,,,,100,86,,93,,,89,83,79,,,,73,100,100,,,,100,100,,,,100,100,92,,,100,,100,100,100,56,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,WA3,70000,In full-time paid work (30 or more hours a week),,Yes,1,"1.	Living comfortably",7. Completely satisfied,8,Good,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Often true,95,95,Lifestyle changes,50,I always vote at General Elections,Conservative Party,,Don't know,,1. Strongly disagree,3. Neither agree nor disagree,2. Disagree,1. Strongly disagree,4. Agree,3. Neither agree nor disagree,5aa04de4dbdb470001ef1dd5
20/01/2024 18:15,20/01/2024 18:34,100,1126,TRUE,20/01/2024 18:34,R_4MWGm8ECK5ONb13,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5c60501d767686000100150c,50,,50,,,50,30,,42,,,49,70,,,,84,90,81,,90,,,100,36,,,,17,25,54,,,65,,80,51,46,,,,52,16,44,,,,51,55,,,,60,69,42,44,,,,53,41,31,56,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,m25,29000,A homemaker,,Yes,4,"1.	Living comfortably",6. Mostly satisfied,5,Fair,Several days,Several days,Several days,More than half the days,Not at all,Several days,Several days,Not at all,Several days,Several days,Several days,Several days,Not at all,Nearly every day,Not at all,Always true,64,33,if my partner died,50,I never vote at General Elections,I chose not to vote at the last General Election,,Independent candidate,,4. Agree,4. Agree,4. Agree,3. Neither agree nor disagree,4. Agree,2. Disagree,5c60501d767686000100150c
20/01/2024 18:21,20/01/2024 18:34,100,802,TRUE,20/01/2024 18:34,R_2YtP07zg2pvN1Qt,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5a3cef0066e7880001de3bf9,66,60,,,,66,13,,,14,,17,30,,,45,,29,19,13,,,,13,10,9,,,,9,15,15,,,,15,71,,,69,,71,19,,,,30,35,72,71,,,,71,72,,71,,,71,20,55,69,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,CW3,45000,"Other, please type in below",Retired,Yes,5,"1.	Living comfortably",6. Mostly satisfied,4,Fair,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,Not at all,Several days,Several days,Often true,30,60,serious reduction of income or homelessness,35,I always vote at General Elections,Brexit Party,,Labour Party,,4. Agree,4. Agree,4. Agree,5. Strongly agree,1. Strongly disagree,4. Agree,5a3cef0066e7880001de3bf9
20/01/2024 18:19,20/01/2024 18:35,100,972,TRUE,20/01/2024 18:35,R_3g2u5mUidDRqDt8,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5981d55b04ebec0001aaadde,50,52,,,,54,70,,,75,,75,69,,,,66,61,82,82,,,,74,93,,,,91,93,85,,,88,,86,80,,87,,,79,70,,77,,,97,87,,,62,,61,76,,,78,,85,82,85,39,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,WV11,30000,A homemaker,,No,3,"3.	Just about getting by",3. Somewhat dissatisfied,3,Good,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Often true,82,71,unsure,50,I never vote at General Elections,I chose not to vote at the last General Election,,I will choose not to vote at the next General Election,,5. Strongly agree,1. Strongly disagree,3. Neither agree nor disagree,5. Strongly agree,1. Strongly disagree,5. Strongly agree,5981d55b04ebec0001aaadde
20/01/2024 18:17,20/01/2024 18:36,100,1114,TRUE,20/01/2024 18:36,R_25KNpF0uIxo5gTa,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5ed4b8618f8d7e47a87b5ecb,15,,10,,,15,70,,,80,,80,90,80,,,,90,40,,,,20,35,20,30,,,,20,12,,,,6,12,40,33,,,,30,92,90,,,,95,100,89,,,,100,10,5,,,,9,55,7,46,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,S8,33962,In full-time paid work (30 or more hours a week),,Yes,0,"1.	Living comfortably",7. Completely satisfied,9,Good,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Often true,80,60,I can't think of anything that would make me support some elements of this programme,53,I always vote at General Elections,Liberal Democrats,,Labour Party,,2. Disagree,4. Agree,1. Strongly disagree,3. Neither agree nor disagree,3. Neither agree nor disagree,4. Agree,5ed4b8618f8d7e47a87b5ecb
20/01/2024 18:14,20/01/2024 18:38,100,1393,TRUE,20/01/2024 18:38,R_41dHhnef6uYtu3D,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,58542426733c730001a5d1f4,55,,,,85,65,60,40,,,,60,81,91,,,,100,100,,,,100,100,81,95,,,,89,90,,,,40,90,80,,,91,,91,100,,,,100,100,100,,,19,,100,87,,100,,,100,91,22,29,Male,,"4.	Chinese",,,,,,S13,18000,In irregular or occasional work,,No,0,"1.	Living comfortably",5. Somewhat satisfied,6,Fair,Several days,Several days,More than half the days,Several days,Nearly every day,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,Several days,Often true,34,14,i already support it for the most part,19,I never vote at General Elections,I chose not to vote at the last General Election,,I will choose not to vote at the next General Election,,4. Agree,4. Agree,5. Strongly agree,3. Neither agree nor disagree,2. Disagree,3. Neither agree nor disagree,58542426733c730001a5d1f4
20/01/2024 18:15,20/01/2024 18:39,100,1418,TRUE,20/01/2024 18:39,R_2s9eVd4XSbbLWEh,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,58f93198dbfafa0001d227c9,70,,,,85,75,80,,70,,,80,75,90,,,,85,90,,70,,,90,60,,60,,,60,85,60,,,,90,80,,,,85,85,75,,,80,,80,75,85,,,,80,90,,,90,,85,80,60,38,In another way (please type in below),Transman,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,NE27,80000,Self-employed,,Yes,25,"3.	Just about getting by",3. Somewhat dissatisfied,4,Good,Several days,Several days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Several days,Several days,Several days,More than half the days,More than half the days,Several days,More than half the days,Often true,40,70,Nothing comes to mind,30,I sometimes vote at General Elections,Labour Party,,Labour Party,,4. Agree,4. Agree,2. Disagree,3. Neither agree nor disagree,3. Neither agree nor disagree,4. Agree,58f93198dbfafa0001d227c9
